path,changed,converted_blocks,skipped_blocks,incomplete_blocks,unsafe_blocks,already_pyodide_blocks,warnings
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-jupyter/mekanikk2-ny-losningsforslag/index.qmd,True,2,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-jupyter/mekanikk3/index.qmd,True,2,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-jupyter/mekanikk3-lf/index.qmd,True,2,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/biohydrogen-pilot-student/index.qmd,True,15,0,9,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/blysyrebatteri-pilot-student/index.qmd,True,20,0,8,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/cellelogistikk-pilot-student/index.qmd,True,18,0,7,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/dc-motor-pilot-student/index.qmd,True,18,0,14,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/flystabilitet-turbulens-pilot-student/index.qmd,True,20,0,7,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/fuktig-kjeller-pilot-student/index.qmd,True,21,0,11,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/gjovik-space-agency-pilot-student/index.qmd,True,23,0,8,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/glidelager-pilot-student/index.qmd,True,16,0,11,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/glidelager-pilot-student-v2/index.qmd,True,17,0,9,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/kavitasjon-pilot-student/index.qmd,True,11,0,6,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/kjernedannelse-pilot-student/index.qmd,True,12,0,5,0,0,
